"asset_id","runtime_path","source_title","author","source_url","license","source_file","source_sha256"
"sfx_ui_panel_open","assets/audio/ui/sfx_ui_panel_open_v01.wav","Opening a book","mateusboga","https://freesound.org/s/614081/","CC0","04_panel_open_book_614081.mp3","5a973db043d69e7d1c39f2f7161058b8ec299168381c594c7de1bc35befbe64d"
"sfx_ui_panel_close","assets/audio/ui/sfx_ui_panel_close_v01.wav","Book Close - 13","SpaceJoe","https://freesound.org/s/484893/","CC0","09_panel_close_heavy_484893.mp3","0e7b1cc75f21621ba2aff410d7ec8972e424a7076dca3310a4ab8f53b47e1688"
"sfx_ui_interaction_success_resource_collect","assets/audio/ui/sfx_ui_interaction_success_resource_collect_v01.wav","Correct Bell","Fupicat","https://freesound.org/s/538147/","CC0","11_confirm_success_chime_538147.mp3","8e06b6d1ddafd26f8f916f1ca02c67b37d49e2d1dcb7327c176c1932714f764e"
"sfx_ui_toggle","assets/audio/ui/sfx_ui_toggle_v01.wav","Click Tick.wav","malle99","https://freesound.org/s/384187/","CC0","04_slider_click_tick_384187.mp3","ac0696b50f19f82bc693dc7c3b8987878fd201c188cef90d340c318ddd1387eb"
"sfx_world_door_open","assets/audio/world/doors/sfx_world_door_open_v01.wav","door creak 1.wav","soundofsong","https://freesound.org/s/647646/","CC0","07_door_open_short_creak_647646.mp3","cbdf201a0c0cbeac2523fe7d0b06ad046dd26ac31bb09092d63caed6e03d54b5"
"sfx_world_door_close","assets/audio/world/doors/sfx_world_door_close_v01.wav","squeaky wooden door solid close.wav","CastIronCarousel","https://freesound.org/s/216879/","CC0","12_door_close_squeaky_216879.mp3","d5cf79bda636404790a8f061e988c4b9d06fcd244f527c249b30846fecd97982"
"sfx_meteor_fall_one_shot","assets/audio/abilities/meteor/sfx_meteor_fall_one_shot_v01.wav","Fireball, Woosh, Pass, fast","julianmateo_","https://freesound.org/s/522705/","CC0","01_meteor_fireball_pass_522705.mp3","8fc9549e7422dd0c9fa1e89993b6e093ac42991540ed2492e986a5c7ba2f6ebc"
"sfx_work_garden_loop","assets/audio/work/garden/sfx_work_garden_loop_v01.ogg","Shovel_dirt.wav","dr19","https://freesound.org/s/353907/","CC0","04_garden_shovel_dirt_353907.mp3","9c34566e583e9aa94e6aa69140ab6b7e62fc538e8a27ac310bfd747959bfb57f"
"sfx_work_dining_hall_loop","assets/audio/work/dining_hall/sfx_work_dining_hall_loop_v01.ogg","Beginner chopping vegetables on a cutting board","megahope","https://freesound.org/s/829282/","CC0","06_kitchen_chopping_829282.mp3","e575e34669ba81d1529db8f099d15ccf78cf8c249401006dca3a62bdb3933252"
"sfx_work_stable_with_horse_loop","assets/audio/work/stable/sfx_work_stable_with_horse_loop_v01.ogg","G38-16-Four Horse Snorts.wav","craigsmith","https://freesound.org/s/437111/","CC0","08_stable_horse_snorts_437111.mp3","a700da65f76e52e914ef7214dd207b49067f313d3d2f8a857e64b6f9bb6b8ac0"
